scene,date,doy,support_px,clear_support_px,clear_frac,veg_frac,snow_frac,cloud_frac,shadow_frac,scl7_frac,ndvi_med_clear,ndre_med_clear,ndmi_med_clear,nbr_med_clear,ndsi_med_clear
SdV_2020-07-05_low_clouds.zip,2020-07-05,187,191154,174630,0.9135566088075583,0.897543342017431,0.0,0.041082059491300206,0.04536133170114149,0.009474036640614374,0.8631918430328369,0.6454623937606812,0.35471415519714355,0.6420860886573792,-0.551971971988678
SdV_2020-08-09_no_clouds.zip,2020-08-29,242,191154,191135,0.9999006037017274,0.9987653933477719,0.0,0.0,9.939629827259696e-05,0.00013601598710986953,0.8626325726509094,0.6613812446594238,0.33583664894104004,0.637470006942749,-0.590531051158905
SdV_2020-10-28_no_clouds.zip,2020-10-28,302,191154,135908,0.7109869529280057,0.7041809221883926,0.0,0.005482490557351664,0.28353055651464265,0.004776253701204264,0.7395437955856323,0.512657105922699,0.27996236085891724,0.5699118375778198,-0.5782383680343628
SdV_2020-12-02_snow.zip,2020-12-02,337,191154,88294,0.4618998294568777,0.41424192012722727,0.0029034181863837535,0.025848268934994822,0.5093484834217438,0.04325308390093851,0.722115695476532,0.5307294726371765,0.3411388099193573,0.5621422529220581,-0.5337806344032288
SdV_2020-12-07_winter.zip,2020-12-07,342,191154,0,0.0,0.0,0.0,0.9999895372317608,1.0462768239220732e-05,0.0,,,,,
SdV_2021-05-11_no_clouds.zip,2021-05-11,131,191154,190120,0.9945907488203228,0.9235956349330906,0.0035468784330958286,0.00017786706006675247,0.001684505686514538,0.01898992435418563,0.6099323630332947,0.41183334589004517,0.08570396155118942,0.3291838765144348,-0.5922077894210815
SdV_2021-05-11_Low_clouds.zip,2021-05-11,131,191154,190120,0.9945907488203228,0.9235956349330906,0.0035468784330958286,0.00017786706006675247,0.001684505686514538,0.01898992435418563,0.6099323630332947,0.41183334589004517,0.08570396155118942,0.3291838765144348,-0.5922077894210815
SdV_2021-08-09_no_clouds.zip,2021-08-09,221,191154,191129,0.9998692153970098,0.9991472843885035,0.0,0.0,0.00013078460299025915,0.000156941523588311,0.8947575688362122,0.6995952129364014,0.39330917596817017,0.6838592886924744,-0.6076532006263733
SdV_2021-10-03_no_clouds.zip,2021-10-03,276,191154,190739,0.9978289755903617,0.9959247517708235,0.0,0.0,0.002171024409638302,0.000256337821860908,0.888289749622345,0.6415427327156067,0.41305071115493774,0.6933718323707581,-0.5736390948295593
SdV_2021-10-28_no_clouds.zip,2021-10-28,301,191154,177590,0.9290415058016049,0.9153823618653023,0.0,0.0,0.070958494198395,0.009468805256494763,0.7602907419204712,0.5440478920936584,0.263018935918808,0.545732855796814,-0.7080276012420654
SdV_2022-01-16_winter.zip,2022-01-16,16,191154,84243,0.4407074923883361,0.17951494606442972,0.07683856994883706,0.03769212258179269,0.44476181508103413,0.19172499659960032,0.539273738861084,0.3837931156158447,0.6287643909454346,0.7728148102760315,0.12285150587558746
SdV_2022-05-16_low_clouds.zip,2022-05-16,136,191154,180165,0.9425123199096017,0.9212153551586679,0.0001412473712294799,0.015641838517634996,0.04170459420153384,0.0034841018236605042,0.7721124291419983,0.47610971331596375,0.29597562551498413,0.5612569451332092,-0.4607333242893219
SdV_2022-07-25_no_clouds.zip,2022-07-25,206,191154,191154,1.0,0.997530786695544,0.0,0.0,0.0,0.00019356121242558355,0.8734177350997925,0.6666666865348816,0.36752137541770935,0.6590909361839294,-0.6000000238418579
SdV_2022-10-18_no_clouds.zip,2022-10-18,291,191154,191154,1.0,0.8873682999047888,0.0,0.0,0.0,0.0,0.6778730154037476,0.5029223561286926,0.163589209318161,0.43568235635757446,-0.636123538017273
SdV_2022-11-12_no_clouds.zip,2022-11-12,316,191154,167367,0.8755610659468283,0.6305648848572355,0.0,0.07290456909089006,0.05153436496228172,0.0,0.7546981573104858,0.5475490093231201,0.22392545640468597,0.48833325505256653,-0.6440244317054749
SdV_2023-08-04_Low_clouds.zip,2023-08-04,216,191154,185342,0.9695951954968246,0.9669638092846605,0.0,0.0038136790231959572,0.026591125479979494,0.00019356121242558355,0.8739095330238342,0.6671296954154968,0.35807737708091736,0.6555887460708618,-0.5705763101577759
SdV_2023-09-13_no_clouds.zip,2023-09-13,256,191154,191142,0.9999372233905647,0.9969030206011906,0.0,0.0,6.27766094353244e-05,0.0004551304184061019,0.8782699108123779,0.6737164855003357,0.3760306239128113,0.6710864305496216,-0.582760214805603
SdV_2023-10-18_no_clouds.zip,2023-10-18,291,191154,191154,1.0,0.9858386431882148,0.0,0.0,0.0,0.0,0.8561702966690063,0.6105166077613831,0.3732737600803375,0.6559135317802429,-0.6086574792861938
SdV_2024-01-21_snow.zip,2024-01-21,21,191154,108552,0.5678772089519445,0.06719712901639516,0.1218703244504431,0.0,0.3102524665976124,0.0,0.461895227432251,0.33842581510543823,0.6786720752716064,0.7829785346984863,0.31526562571525574
SdV_2024-02-15_snow.zip,2024-02-15,46,191154,153889,0.8050524707827197,0.4551304184061019,0.1416606505749291,0.0,0.053286878642351196,0.0,0.7073229551315308,0.5079877376556396,0.4553253948688507,0.6644041538238525,-0.4718160629272461
SdV_2024-03-21_snow.zip,2024-03-21,81,191154,180778,0.9457191583749228,0.7329953859192065,0.05428084162507716,0.0,0.0,0.0,0.6483950614929199,0.46040645241737366,0.26769423484802246,0.49942344427108765,-0.5318940281867981
SdV_2024-04-30_VeryLow_clouds.zip,2024-04-30,121,191154,190753,0.9979022149680362,0.9774475030603597,0.0,0.0,0.002097785031963757,0.00012032183475103844,0.6647045612335205,0.4577745497226715,0.15755848586559296,0.4011411666870117,-0.5661764740943909
SdV_2024-06-19_no_clouds.zip,2024-06-19,171,191154,191148,0.9999686116952823,0.9972953744101615,0.0,0.0,3.13883047176622e-05,9.939629827259696e-05,0.8876416683197021,0.6697801947593689,0.3851340413093567,0.6678570508956909,-0.5705493688583374
SdV_2024-07-14_no_clouds.zip,2024-07-14,196,191154,191148,0.9999686116952823,0.9975621750002616,0.0,0.0,3.13883047176622e-05,0.00022494951714324576,0.8867916464805603,0.6932151913642883,0.3593585193157196,0.6616994738578796,-0.6175071001052856
